cgpa,avg_ca_score,avg_exam_score,attendance_rate,courses_registered,level,gender,department,performance_category
3.98,18.77,39.74,79.09,8.0,200.0,Female,Accounting,Good
2.47,19.39,28.57,50.58,4.0,100.0,Female,Medicine,Average
4.36,20.17,68.96,90.17,6.0,100.0,Male,Medicine,Good
3.64,20.4,45.9,59.17,6.0,200.0,Male,Electrical Engineering,Good
0.92,2.61,6.3,53.5,5.0,200.0,Female,Civil Engineering,At-Risk
4.89,30.0,70.0,84.59,6.0,200.0,Female,Electrical Engineering,Excellent
3.93,20.35,65.67,63.07,7.0,400.0,Male,Civil Engineering,Good
4.04,22.87,60.66,94.4,6.0,300.0,Male,Mechanical Engineering,Good
1.08,5.28,11.43,42.24,6.0,100.0,Male,Law,At-Risk
2.53,11.49,33.46,79.4,8.0,500.0,Male,Law,Average
2.17,15.44,23.93,68.24,5.0,400.0,Male,Mass Communication,At-Risk
4.67,29.21,57.43,78.06,7.0,300.0,Male,Mechanical Engineering,Excellent
3.4,19.94,39.21,69.92,5.0,100.0,Male,Computer Science,Average
4.2,23.06,53.89,81.64,8.0,500.0,Male,Computer Science,Good
2.5,18.95,26.66,75.21,5.0,400.0,Male,Mass Communication,Average
1.52,7.96,8.81,52.65,8.0,300.0,Male,Mass Communication,At-Risk
3.0,16.44,43.69,67.71,7.0,100.0,Male,Mechanical Engineering,Average
0.79,5.25,12.9,37.45,5.0,100.0,Female,Mass Communication,At-Risk
4.22,30.0,70.0,80.19,7.0,200.0,Male,Accounting,Good
3.34,13.35,41.45,83.16,5.0,200.0,Male,Mechanical Engineering,Average
3.91,27.32,57.13,76.97,5.0,200.0,Female,Civil Engineering,Good
2.1,3.11,31.84,51.19,5.0,300.0,Female,Mechanical Engineering,At-Risk
4.87,30.0,66.12,82.77,7.0,100.0,Male,Law,Excellent
4.52,30.0,69.22,78.69,5.0,200.0,Male,Mechanical Engineering,Excellent
4.0,26.46,62.24,64.01,6.0,500.0,Male,Mechanical Engineering,Good
1.38,9.11,21.88,39.01,6.0,500.0,Female,Medicine,At-Risk
2.6,12.8,34.36,76.19,4.0,100.0,Male,Civil Engineering,Average
0.7,4.34,6.9,36.3,5.0,400.0,Male,Mechanical Engineering,At-Risk
1.19,5.91,5.78,51.38,5.0,500.0,Female,Law,At-Risk
3.57,17.51,43.58,48.1,5.0,300.0,Female,Other,Good
3.85,21.66,48.94,81.9,8.0,200.0,Male,Economics,Good
4.85,30.0,58.96,86.63,5.0,300.0,Male,Mass Communication,Excellent
1.97,7.96,31.05,48.78,6.0,200.0,Female,Mass Communication,At-Risk
2.17,8.97,39.91,57.81,7.0,200.0,Female,Economics,At-Risk
2.61,8.88,29.32,56.4,7.0,500.0,Female,Mass Communication,Average
1.35,10.07,21.2,24.99,7.0,400.0,Female,Computer Science,At-Risk
1.08,9.23,6.91,52.24,6.0,300.0,Male,Computer Science,At-Risk
2.64,17.0,34.53,64.12,8.0,100.0,Female,Mass Communication,Average
1.52,13.95,15.77,45.11,8.0,500.0,Female,Electrical Engineering,At-Risk
3.51,21.52,54.01,62.51,5.0,100.0,Female,Law,Good
2.47,16.76,29.11,44.91,4.0,400.0,Male,Business Administration,Average
4.25,27.0,67.55,83.2,5.0,200.0,Male,Law,Good
3.65,21.45,49.15,89.95,8.0,200.0,Male,Medicine,Good
1.91,8.78,21.48,54.9,8.0,100.0,Female,Computer Science,At-Risk
4.25,30.0,49.41,67.11,7.0,200.0,Female,Civil Engineering,Good
4.12,22.47,59.73,81.71,7.0,400.0,Male,Medicine,Good
2.24,10.13,38.57,56.39,5.0,300.0,Female,Other,At-Risk
1.8,12.95,27.35,60.21,6.0,100.0,Female,Law,At-Risk
3.57,22.69,67.91,78.92,4.0,200.0,Female,Mass Communication,Good
1.13,0.0,27.24,13.69,6.0,100.0,Male,Other,At-Risk
1.4,14.01,17.13,52.25,4.0,300.0,Male,Mass Communication,At-Risk
0.53,2.73,4.92,26.36,4.0,500.0,Male,Economics,At-Risk
4.04,18.69,60.33,64.28,8.0,500.0,Female,Civil Engineering,Good
3.49,26.89,42.18,70.02,8.0,500.0,Female,Accounting,Average
3.67,25.17,60.76,78.19,7.0,100.0,Male,Law,Good
4.01,17.76,59.08,61.75,7.0,300.0,Male,Business Administration,Good
2.57,24.28,37.96,67.83,5.0,100.0,Female,Mass Communication,Average
3.06,21.65,48.33,74.35,6.0,300.0,Female,Medicine,Average
1.13,6.72,29.59,44.02,7.0,300.0,Male,Mechanical Engineering,At-Risk
1.02,14.04,15.58,33.51,6.0,400.0,Male,Other,At-Risk
3.51,21.84,48.21,62.3,5.0,200.0,Female,Mass Communication,Good
2.62,15.58,48.75,71.7,5.0,100.0,Female,Economics,Average
3.04,14.96,50.35,51.41,8.0,300.0,Female,Mechanical Engineering,Average
3.94,26.56,52.63,87.95,5.0,300.0,Female,Mechanical Engineering,Good
3.36,22.52,47.03,68.62,8.0,400.0,Male,Mass Communication,Average
2.99,18.02,43.44,64.93,7.0,100.0,Female,Computer Science,Average
3.02,14.15,45.12,49.12,8.0,400.0,Female,Accounting,Average
1.87,11.86,15.3,50.95,6.0,300.0,Male,Economics,At-Risk
0.64,3.48,0.0,43.8,5.0,400.0,Male,Mechanical Engineering,At-Risk
2.47,8.12,27.41,46.22,4.0,500.0,Male,Mass Communication,Average
1.47,1.43,12.8,52.57,6.0,200.0,Male,Accounting,At-Risk
2.34,16.86,27.59,58.95,5.0,400.0,Male,Computer Science,At-Risk
4.34,13.03,65.84,75.65,4.0,100.0,Female,Civil Engineering,Good
1.55,10.34,20.39,57.18,8.0,500.0,Male,Business Administration,At-Risk
0.76,2.18,12.24,17.13,8.0,300.0,Female,Mechanical Engineering,At-Risk
1.77,17.14,14.93,54.66,5.0,400.0,Female,Other,At-Risk
1.82,8.46,21.8,68.05,7.0,400.0,Female,Civil Engineering,At-Risk
3.48,24.17,53.4,86.14,6.0,400.0,Male,Accounting,Average
3.01,16.06,46.85,69.98,6.0,200.0,Male,Accounting,Average
4.03,24.73,50.59,75.31,7.0,400.0,Male,Mechanical Engineering,Good
3.49,24.62,50.15,65.51,6.0,300.0,Female,Economics,Average
2.33,11.66,50.19,54.92,8.0,400.0,Male,Civil Engineering,At-Risk
4.16,29.96,58.14,85.4,4.0,400.0,Male,Computer Science,Good
1.25,2.54,11.97,36.94,7.0,300.0,Female,Business Administration,At-Risk
0.6,5.09,7.04,44.8,8.0,100.0,Female,Economics,At-Risk
0.91,10.04,13.41,62.19,8.0,200.0,Male,Electrical Engineering,At-Risk
